hour,HEALTH,HOME,LEISURE,OTHER,PURCHASE,STUDY,WORK
0,0.0,0.9130434782608695,0.014492753623188406,0.057971014492753624,0.0,0.0,0.014492753623188406
1,0.0,0.7857142857142857,0.03571428571428571,0.07142857142857142,0.0,0.0,0.10714285714285714
2,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.4,0.0,0.0,0.0,0.0,0.6
4,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.8333333333333334
5,0.0,0.08695652173913043,0.0,0.043478260869565216,0.0,0.0,0.8695652173913043
6,0.025,0.0,0.0125,0.0875,0.0,0.0,0.875
7,0.031914893617021274,0.04964539007092199,0.0,0.1524822695035461,0.028368794326241134,0.04609929078014184,0.6914893617021277
8,0.030470914127423823,0.07109879963065559,0.012927054478301015,0.19113573407202217,0.0221606648199446,0.05817174515235457,0.6140350877192983
9,0.0854788877445932,0.08444902162718847,0.026776519052523172,0.07003089598352215,0.0854788877445932,0.032955715756951595,0.6148300720906282
10,0.11004784688995216,0.19936204146730463,0.06379585326953748,0.06060606060606061,0.3141945773524721,0.03508771929824561,0.21690590111642744
11,0.08536585365853659,0.24796747967479674,0.06775067750677506,0.08672086720867209,0.34417344173441733,0.018970189701897018,0.14905149051490515
12,0.030685920577617327,0.2870036101083033,0.06407942238267147,0.1272563176895307,0.30776173285198555,0.011732851985559567,0.17148014440433212
13,0.021494370522006142,0.23439099283520984,0.06857727737973388,0.08597748208802457,0.19344933469805528,0.02661207778915046,0.3694984646878199
14,0.07952871870397643,0.21207658321060383,0.14138438880706922,0.08836524300441827,0.24889543446244478,0.016200294550810016,0.21354933726067746
15,0.07272727272727272,0.2694214876033058,0.18016528925619835,0.07933884297520662,0.2809917355371901,0.009917355371900827,0.10743801652892562
16,0.04579207920792079,0.37995049504950495,0.12128712871287128,0.17698019801980197,0.24133663366336633,0.0037128712871287127,0.03094059405940594
17,0.016791044776119403,0.4766791044776119,0.12406716417910447,0.14832089552238806,0.2126865671641791,0.0018656716417910447,0.01958955223880597
18,0.004918032786885246,0.5204918032786885,0.1762295081967213,0.10081967213114754,0.1942622950819672,0.0,0.003278688524590164
19,0.0010822510822510823,0.5497835497835498,0.23484848484848486,0.08008658008658008,0.12987012987012986,0.0,0.004329004329004329
20,0.0,0.5759368836291914,0.29191321499013806,0.055226824457593686,0.07692307692307693,0.0,0.0
21,0.0,0.6692307692307692,0.2,0.11538461538461539,0.015384615384615385,0.0,0.0
22,0.0,0.8511627906976744,0.05581395348837209,0.07906976744186046,0.013953488372093023,0.0,0.0
23,0.0,0.8636363636363636,0.03787878787878788,0.09848484848484848,0.0,0.0,0.0
