,HOME,WORK,STUDY,PURCHASE,LEISURE,HEALTH,OTHER
Rule-based,0.4469872892990347,0.16095165685999055,0.010471352190567352,0.08072348418088136,0.20488517253678395,0.00020771127493672182,0.09577333365780538
GBDT,0.677722560172973,0.18727346873158712,0.04264718064514385,0.013134481128631782,0.05098488328961564,0.01290661325660061,0.015330812775447887
HMM,0.6904330153261423,0.22668428648227312,0.012906859068760297,0.018097674444900836,0.044558615998881064,0.005181474514072378,0.002138074164969948
Hybrid,0.6781306083580559,0.21888982871071277,0.01524920313843133,0.015276979912476122,0.04612714338985292,0.006064923415992588,0.02026131307447838
