,HOME,WORK,STUDY,PURCHASE,LEISURE,HEALTH,OTHER
Hybrid (GBDT + HMM),0.8218246971490837,0.10138369388061116,0.01127551750423175,0.013629151521042488,0.01527153452020944,0.01788348012325762,0.018731925301563875
Hybrid + Profile,0.8263597002566805,0.0979409694441057,0.011850423357335658,0.01364079360617046,0.015258366048435518,0.017874890811421542,0.017074856475850695
