,HOME,WORK,STUDY,PURCHASE,LEISURE,HEALTH,OTHER
Hybrid (GBDT + HMM),0.42263706693575515,0.1705348133198789,0.01294988227379751,0.16548940464177597,0.03649512277161117,0.1367305751765893,0.055163134880592
Hybrid + Profile,0.4263370332996973,0.16902119071644803,0.013790783720148,0.16548940464177597,0.03649512277161117,0.1363942145980491,0.05247225025227043
