,H,H-W-H,H-He-H,H-P-H,W-H,H-L-H,H-W-He-H,H-W-P-H,He-H,H-O-H,Other
S3,0.2948207171314741,0.10927717700626068,0.07683551508252703,0.06772908366533864,0.040978941377347755,0.0199203187250996,0.01821286283437678,0.018782014797951052,0.016505406943653957,0.01593625498007968,0.32100170745589074
S4,0.30051223676721683,0.11269208878770631,0.07398975526465566,0.07057484348321001,0.03870233352305066,0.01935116676152533,0.01821286283437678,0.01707455890722823,0.01593625498007968,0.015367103016505406,0.3175867956744451
