hour,HEALTH,HOME,LEISURE,OTHER,PURCHASE,STUDY,WORK
0,0.15135135135135136,0.43243243243243246,0.05405405405405406,0.08108108108108109,0.1783783783783784,0.010810810810810811,0.0918918918918919
1,0.09375,0.41875,0.04375,0.08125,0.225,0.0125,0.125
2,0.21212121212121213,0.36363636363636365,0.030303030303030304,0.030303030303030304,0.24242424242424243,0.030303030303030304,0.09090909090909091
3,0.13793103448275862,0.3793103448275862,0.0,0.13793103448275862,0.20689655172413793,0.0,0.13793103448275862
4,0.0,0.5555555555555556,0.1111111111111111,0.0,0.1111111111111111,0.0,0.2222222222222222
5,0.14285714285714285,0.34285714285714286,0.04285714285714286,0.1,0.24285714285714285,0.0,0.12857142857142856
6,0.15765765765765766,0.4009009009009009,0.03153153153153153,0.08558558558558559,0.18018018018018017,0.036036036036036036,0.10810810810810811
7,0.12295081967213115,0.40846994535519127,0.06420765027322405,0.09289617486338798,0.17349726775956284,0.02459016393442623,0.1133879781420765
8,0.1432853717026379,0.42685851318944845,0.05455635491606715,0.07194244604316546,0.15167865707434053,0.03237410071942446,0.11930455635491606
9,0.11669770328988206,0.4376163873370577,0.05276225946617008,0.07945375543140906,0.15518311607697083,0.023587833643699565,0.13469894475481067
10,0.13460231135282122,0.416043507817811,0.060503059143439834,0.09721278042148199,0.15975526852481306,0.017675050985723997,0.1142080217539089
11,0.1303780964797914,0.4276401564537158,0.04563233376792699,0.08344198174706649,0.1544980443285528,0.01955671447196871,0.13885267275097785
12,0.12348528563185228,0.42065781881130987,0.05020196191575303,0.08655510675129832,0.15753029428736295,0.027697634160415464,0.13387189844200809
13,0.13357972544878563,0.4260823653643083,0.05543822597676874,0.08130939809926083,0.16156282998944033,0.02587117212249208,0.11615628299894404
14,0.12459194776931447,0.40642002176278563,0.051686615886833515,0.09357997823721437,0.16104461371055495,0.025027203482045703,0.13764961915125137
15,0.12608318890814557,0.4103119584055459,0.05632582322357019,0.07712305025996534,0.1681109185441941,0.018630849220103985,0.14341421143847488
16,0.13392857142857142,0.4270833333333333,0.05505952380952381,0.0873015873015873,0.15625,0.018849206349206348,0.12152777777777778
17,0.12154989384288747,0.4299363057324841,0.054140127388535034,0.0881104033970276,0.16932059447983014,0.022823779193205943,0.11411889596602973
18,0.141316685584563,0.42338251986379116,0.04937570942111237,0.0771850170261067,0.16401816118047674,0.02383654937570942,0.12088535754824063
19,0.1329437545653762,0.4346238130021914,0.04674945215485756,0.08984660336011688,0.16216216216216217,0.016800584368151936,0.1168736303871439
20,0.11560044893378227,0.4208754208754209,0.04938271604938271,0.09652076318742986,0.18069584736251404,0.017957351290684626,0.11896745230078563
21,0.11981566820276497,0.43010752688172044,0.05683563748079877,0.08602150537634409,0.17665130568356374,0.019969278033794162,0.11059907834101383
22,0.12217194570135746,0.45701357466063347,0.083710407239819,0.08144796380090498,0.1425339366515837,0.011312217194570135,0.10180995475113122
23,0.13026819923371646,0.4367816091954023,0.07279693486590039,0.05363984674329502,0.14559386973180077,0.011494252873563218,0.14942528735632185
