hour,HEALTH,HOME,LEISURE,OTHER,PURCHASE,STUDY,WORK
0,0.0,0.7391304347826086,0.043478260869565216,0.21739130434782608,0.0,0.0,0.0
1,0.0,0.9545454545454546,0.0,0.045454545454545456,0.0,0.0,0.0
2,0.0,0.7777777777777778,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111
3,0.0,0.75,0.0,0.125,0.0,0.0,0.125
4,0.2,0.2,0.0,0.0,0.0,0.0,0.6
5,0.0,0.2631578947368421,0.0,0.21052631578947367,0.0,0.0,0.5263157894736842
6,0.0,0.13559322033898305,0.01694915254237288,0.22033898305084745,0.0,0.0,0.6271186440677966
7,0.05945945945945946,0.25405405405405407,0.021621621621621623,0.12972972972972974,0.0,0.0,0.5351351351351351
8,0.08523908523908524,0.2286902286902287,0.010395010395010396,0.10187110187110188,0.016632016632016633,0.09563409563409564,0.46153846153846156
9,0.13480392156862744,0.30392156862745096,0.0196078431372549,0.08088235294117647,0.04656862745098039,0.029411764705882353,0.38480392156862747
10,0.22832369942196531,0.23121387283236994,0.014450867052023121,0.03468208092485549,0.15606936416184972,0.02023121387283237,0.315028901734104
11,0.21052631578947367,0.2548476454293629,0.0221606648199446,0.019390581717451522,0.25761772853185594,0.008310249307479225,0.22714681440443213
12,0.14092140921409213,0.3224932249322493,0.013550135501355014,0.024390243902439025,0.3116531165311653,0.005420054200542005,0.18157181571815717
13,0.12085308056872038,0.3246445497630332,0.018957345971563982,0.03317535545023697,0.34834123222748814,0.014218009478672985,0.13981042654028436
14,0.16626506024096385,0.3156626506024096,0.043373493975903614,0.03855421686746988,0.26506024096385544,0.004819277108433735,0.16626506024096385
15,0.17706576728499157,0.5227655986509275,0.02023608768971332,0.026981450252951095,0.17706576728499157,0.00505902192242833,0.07082630691399663
16,0.17584745762711865,0.5402542372881356,0.04025423728813559,0.02754237288135593,0.17372881355932204,0.0,0.0423728813559322
17,0.18120805369127516,0.5324384787472036,0.03355704697986577,0.049217002237136466,0.17225950782997762,0.0,0.03131991051454139
18,0.15862068965517243,0.5701149425287356,0.04827586206896552,0.04367816091954023,0.15172413793103448,0.0022988505747126436,0.02528735632183908
19,0.09259259259259259,0.5709876543209876,0.12345679012345678,0.04938271604938271,0.16049382716049382,0.0,0.0030864197530864196
20,0.03902439024390244,0.6682926829268293,0.0975609756097561,0.04390243902439024,0.14634146341463414,0.0,0.004878048780487805
21,0.0,0.6687898089171974,0.10828025477707007,0.08280254777070063,0.14012738853503184,0.0,0.0
22,0.0,0.8404255319148937,0.05319148936170213,0.0851063829787234,0.02127659574468085,0.0,0.0
23,0.0,0.8,0.07692307692307693,0.09230769230769231,0.03076923076923077,0.0,0.0
