hour,HEALTH,HOME,LEISURE,OTHER,PURCHASE,STUDY,WORK
0,0.0,0.7391304347826086,0.043478260869565216,0.21739130434782608,0.0,0.0,0.0
1,0.0,0.9545454545454546,0.0,0.045454545454545456,0.0,0.0,0.0
2,0.0,0.7777777777777778,0.0,0.2222222222222222,0.0,0.0,0.0
3,0.0,0.75,0.0,0.25,0.0,0.0,0.0
4,0.2,0.2,0.0,0.6,0.0,0.0,0.0
5,0.0,0.21052631578947367,0.0,0.5263157894736842,0.0,0.0,0.2631578947368421
6,0.0,0.1016949152542373,0.01694915254237288,0.5254237288135594,0.0,0.0,0.3559322033898305
7,0.05945945945945946,0.24864864864864866,0.021621621621621623,0.24864864864864866,0.0,0.0,0.42162162162162165
8,0.08523908523908524,0.22245322245322247,0.010395010395010396,0.17671517671517672,0.016632016632016633,0.09563409563409564,0.39293139293139295
9,0.13480392156862744,0.29901960784313725,0.0196078431372549,0.18137254901960784,0.04656862745098039,0.029411764705882353,0.28921568627450983
10,0.22832369942196531,0.2254335260115607,0.014450867052023121,0.1069364161849711,0.15606936416184972,0.02023121387283237,0.24855491329479767
11,0.21052631578947367,0.2520775623268698,0.0221606648199446,0.036011080332409975,0.25761772853185594,0.008310249307479225,0.21329639889196675
12,0.14092140921409213,0.3089430894308943,0.013550135501355014,0.04878048780487805,0.3116531165311653,0.005420054200542005,0.17073170731707318
13,0.12085308056872038,0.3080568720379147,0.018957345971563982,0.06398104265402843,0.34834123222748814,0.014218009478672985,0.12559241706161137
14,0.16626506024096385,0.3108433734939759,0.043373493975903614,0.06746987951807229,0.26506024096385544,0.004819277108433735,0.14216867469879518
15,0.17706576728499157,0.5160202360876898,0.02023608768971332,0.05227655986509275,0.17706576728499157,0.00505902192242833,0.05227655986509275
16,0.17584745762711865,0.5338983050847458,0.04025423728813559,0.048728813559322036,0.17372881355932204,0.0,0.02754237288135593
17,0.18120805369127516,0.5190156599552572,0.03355704697986577,0.07158836689038031,0.17225950782997762,0.0,0.02237136465324385
18,0.15862068965517243,0.5540229885057472,0.04827586206896552,0.07126436781609195,0.15172413793103448,0.0022988505747126436,0.013793103448275862
19,0.09259259259259259,0.558641975308642,0.12345679012345678,0.06172839506172839,0.16049382716049382,0.0,0.0030864197530864196
20,0.03902439024390244,0.6634146341463415,0.0975609756097561,0.05365853658536585,0.14634146341463414,0.0,0.0
21,0.0,0.6560509554140127,0.10828025477707007,0.09554140127388536,0.14012738853503184,0.0,0.0
22,0.0,0.8085106382978723,0.05319148936170213,0.11702127659574468,0.02127659574468085,0.0,0.0
23,0.0,0.7846153846153846,0.07692307692307693,0.1076923076923077,0.03076923076923077,0.0,0.0
