hour,HEALTH,HOME,LEISURE,OTHER,PURCHASE,STUDY,WORK
0,0.08695652173913043,0.5217391304347826,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.17391304347826086
1,0.1590909090909091,0.36363636363636365,0.022727272727272728,0.045454545454545456,0.22727272727272727,0.09090909090909091,0.09090909090909091
2,0.0,0.4444444444444444,0.0,0.0,0.1111111111111111,0.1111111111111111,0.3333333333333333
3,0.125,0.5,0.0,0.125,0.0,0.0,0.25
4,0.0,0.6,0.2,0.2,0.0,0.0,0.0
5,0.15789473684210525,0.5789473684210527,0.0,0.10526315789473684,0.10526315789473684,0.0,0.05263157894736842
6,0.13559322033898305,0.2542372881355932,0.05084745762711865,0.1694915254237288,0.11864406779661017,0.01694915254237288,0.2542372881355932
7,0.12972972972972974,0.40540540540540543,0.03783783783783784,0.08108108108108109,0.14054054054054055,0.03783783783783784,0.16756756756756758
8,0.14553014553014554,0.4365904365904366,0.04365904365904366,0.06860706860706861,0.15176715176715178,0.0395010395010395,0.11434511434511435
9,0.125,0.41911764705882354,0.056372549019607844,0.061274509803921566,0.17892156862745098,0.03431372549019608,0.125
10,0.13005780346820808,0.42485549132947975,0.05202312138728324,0.11849710982658959,0.11271676300578035,0.028901734104046242,0.1329479768786127
11,0.16066481994459833,0.40443213296398894,0.06371191135734072,0.07479224376731301,0.13019390581717452,0.024930747922437674,0.14127423822714683
12,0.13550135501355012,0.43089430894308944,0.037940379403794036,0.10840108401084012,0.12737127371273713,0.018970189701897018,0.14092140921409213
13,0.11611374407582939,0.4312796208530806,0.03317535545023697,0.08530805687203792,0.17061611374407584,0.02843601895734597,0.13507109004739337
14,0.12048192771084337,0.41204819277108434,0.05301204819277108,0.08433734939759036,0.14698795180722893,0.033734939759036145,0.1493975903614458
15,0.1163575042158516,0.45193929173693087,0.03372681281618887,0.08094435075885328,0.13322091062394603,0.023608768971332208,0.16020236087689713
16,0.1504237288135593,0.4406779661016949,0.059322033898305086,0.07627118644067797,0.1419491525423729,0.019067796610169493,0.11228813559322035
17,0.13870246085011187,0.38926174496644295,0.04697986577181208,0.09172259507829977,0.17002237136465326,0.035794183445190156,0.12751677852348994
18,0.11954022988505747,0.4413793103448276,0.04827586206896552,0.08045977011494253,0.14482758620689656,0.03218390804597701,0.13333333333333333
19,0.11728395061728394,0.4104938271604938,0.046296296296296294,0.09259259259259259,0.18518518518518517,0.018518518518518517,0.12962962962962962
20,0.11219512195121951,0.424390243902439,0.06341463414634146,0.08780487804878048,0.18048780487804877,0.02926829268292683,0.1024390243902439
21,0.1337579617834395,0.43312101910828027,0.025477707006369428,0.08917197452229299,0.14012738853503184,0.06369426751592357,0.11464968152866242
22,0.14893617021276595,0.3829787234042553,0.02127659574468085,0.1276595744680851,0.14893617021276595,0.0425531914893617,0.1276595744680851
23,0.2,0.4,0.015384615384615385,0.07692307692307693,0.15384615384615385,0.015384615384615385,0.13846153846153847
