,HOME,WORK,STUDY,PURCHASE,LEISURE,HEALTH,OTHER
Rule-based,0.23872316475034172,0.14874969848034092,0.0176891533327973,0.19860094878186058,0.2590656910830586,0.0008844576666398649,0.136286885904961
GBDT,0.3285358205354989,0.16668006754040363,0.04735868778644368,0.16587601511618558,0.114336254723808,0.08643563560344135,0.09077751869421886
HMM,0.3359331028383051,0.24169815871994854,0.018332395272171745,0.18863069872155663,0.12012543217817802,0.03192088124145694,0.06335933102838305
Hybrid,0.33456621371713435,0.2110637613572405,0.016483074696470208,0.18179625311570313,0.1090295087239688,0.038112084907935995,0.108949103481547
