hour,HEALTH,HOME,LEISURE,OTHER,PURCHASE,STUDY,WORK
0,0.0,0.8918918918918919,0.010810810810810811,0.0972972972972973,0.0,0.0,0.0
1,0.00625,0.93125,0.0125,0.05,0.0,0.0,0.0
2,0.030303030303030304,0.7575757575757576,0.0,0.12121212121212122,0.0,0.0,0.09090909090909091
3,0.0,0.8620689655172413,0.034482758620689655,0.034482758620689655,0.0,0.0,0.06896551724137931
4,0.05555555555555555,0.6666666666666666,0.0,0.0,0.0,0.0,0.2777777777777778
5,0.0,0.21428571428571427,0.0,0.24285714285714285,0.014285714285714285,0.0,0.5285714285714286
6,0.0,0.13063063063063063,0.009009009009009009,0.13513513513513514,0.0,0.0,0.7252252252252253
7,0.08879781420765027,0.25,0.012295081967213115,0.12704918032786885,0.00273224043715847,0.02459016393442623,0.49453551912568305
8,0.11031175059952038,0.23501199040767387,0.006594724220623501,0.10011990407673861,0.01738609112709832,0.07314148681055156,0.45743405275779375
9,0.1669770328988206,0.2780881440099317,0.01675977653631285,0.06890130353817504,0.08379888268156424,0.019242706393544383,0.36623215394165115
10,0.23725356900067981,0.2399728076138681,0.018354860639021073,0.03942895989123046,0.1794697484704283,0.010197144799456152,0.27532290958531613
11,0.2033898305084746,0.25684485006518903,0.02151238591916558,0.02803129074315515,0.24967405475880053,0.005867014341590613,0.23468057366362452
12,0.16330063473744952,0.2977495672244662,0.029428736295441432,0.031736872475476054,0.3087132140796307,0.0051933064050779,0.16387766878245816
13,0.12513199577613515,0.3125659978880676,0.03167898627243928,0.0395987328405491,0.32259767687434004,0.006863780359028511,0.16156282998944033
14,0.18335146898803048,0.32426550598476606,0.03536452665941241,0.035908596300326445,0.27149075081610446,0.001632208922742111,0.14798694232861806
15,0.17807625649913345,0.4826689774696707,0.03422876949740035,0.03162911611785095,0.19930675909878684,0.002166377816291161,0.07192374350086655
16,0.16468253968253968,0.5307539682539683,0.028769841269841268,0.03869047619047619,0.19295634920634921,0.000496031746031746,0.04365079365079365
17,0.14915074309978768,0.5493630573248408,0.03662420382165605,0.05360934182590234,0.17940552016985137,0.0,0.03184713375796178
18,0.13507377979568672,0.5573212258796821,0.06923950056753689,0.04370034052213394,0.17480136208853575,0.0005675368898978433,0.019296254256526674
19,0.07304601899196493,0.5493060628195763,0.15485756026296568,0.04967129291453616,0.1672753834915997,0.0,0.005843681519357195
20,0.016835016835016835,0.6307519640852974,0.15151515151515152,0.05387205387205387,0.1425364758698092,0.0,0.004489337822671156
21,0.0,0.7035330261136713,0.09370199692780339,0.11827956989247312,0.08448540706605223,0.0,0.0
22,0.0,0.8054298642533937,0.042986425339366516,0.12669683257918551,0.024886877828054297,0.0,0.0
23,0.0,0.8199233716475096,0.04980842911877394,0.1111111111111111,0.019157088122605363,0.0,0.0
