setting,nh_mean,nh_median,ent_mean,ent_median,switch_rate
S3 gap8,0.9735985406266777,0.9901842332048517,0.3306096658051619,0.30265175304745695,1.8624303963314772
S3 day+gap,0.9702056920222825,0.989251705438199,0.35532778303216095,0.32423945324256576,1.876023583360629
S4 gap8,0.9743627481383864,0.9904995193097985,0.3251310498839363,0.3017463047323674,1.8558794628234523
S4 day+gap,0.9730913435575635,0.9903396754557314,0.34915295687472064,0.3295204474527368,1.8657058630854897
