hour,HEALTH,HOME,LEISURE,OTHER,PURCHASE,STUDY,WORK
0,0.0,0.7391304347826086,0.043478260869565216,0.21739130434782608,0.0,0.0,0.0
1,0.0,0.9545454545454546,0.0,0.045454545454545456,0.0,0.0,0.0
2,0.0,0.7777777777777778,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111
3,0.0,0.75,0.0,0.125,0.0,0.0,0.125
4,0.2,0.2,0.0,0.0,0.0,0.0,0.6
5,0.0,0.2631578947368421,0.0,0.21052631578947367,0.0,0.0,0.5263157894736842
6,0.0,0.13559322033898305,0.01694915254237288,0.22033898305084745,0.0,0.0,0.6271186440677966
7,0.06486486486486487,0.23783783783783785,0.021621621621621623,0.12972972972972974,0.0,0.0,0.5459459459459459
8,0.08108108108108109,0.2182952182952183,0.010395010395010396,0.10810810810810811,0.016632016632016633,0.09147609147609148,0.47401247401247404
9,0.12990196078431374,0.30392156862745096,0.022058823529411766,0.08333333333333333,0.04411764705882353,0.031862745098039214,0.38480392156862747
10,0.22832369942196531,0.22832369942196531,0.014450867052023121,0.04335260115606936,0.1531791907514451,0.02023121387283237,0.31213872832369943
11,0.21606648199445982,0.2548476454293629,0.019390581717451522,0.0221606648199446,0.2548476454293629,0.00554016620498615,0.22714681440443213
12,0.13821138211382114,0.31978319783197834,0.013550135501355014,0.024390243902439025,0.3116531165311653,0.005420054200542005,0.18699186991869918
13,0.11848341232227488,0.3175355450236967,0.018957345971563982,0.037914691943127965,0.35545023696682465,0.009478672985781991,0.14218009478672985
14,0.1686746987951807,0.3132530120481928,0.043373493975903614,0.03855421686746988,0.2674698795180723,0.0024096385542168677,0.16626506024096385
15,0.1821247892074199,0.5193929173693086,0.01854974704890388,0.026981450252951095,0.17706576728499157,0.00505902192242833,0.07082630691399663
16,0.18220338983050846,0.538135593220339,0.038135593220338986,0.029661016949152543,0.1716101694915254,0.0,0.04025423728813559
17,0.1789709172259508,0.5324384787472036,0.03355704697986577,0.053691275167785234,0.17002237136465326,0.0,0.03131991051454139
18,0.15862068965517243,0.5609195402298851,0.04827586206896552,0.04827586206896552,0.15632183908045977,0.0022988505747126436,0.02528735632183908
19,0.08950617283950617,0.5709876543209876,0.12345679012345678,0.05246913580246913,0.16049382716049382,0.0,0.0030864197530864196
20,0.03902439024390244,0.6634146341463415,0.1073170731707317,0.03902439024390244,0.14634146341463414,0.0,0.004878048780487805
21,0.0,0.6687898089171974,0.10828025477707007,0.08917197452229299,0.1337579617834395,0.0,0.0
22,0.0,0.8404255319148937,0.05319148936170213,0.0851063829787234,0.02127659574468085,0.0,0.0
23,0.0,0.8,0.07692307692307693,0.09230769230769231,0.03076923076923077,0.0,0.0
