,GT,Rule-based,GBDT,Hybrid
H-W-H,0.1185226019845645,0.03969128996692393,0.11576626240352811,0.1609702315325248
H,0.09040793825799338,0.06339581036383682,0.1113561190738699,0.09785005512679162
W-H,0.06477398015435501,0.030595369349503857,0.0603638368246968,0.07001102535832414
H-L-H,0.038313120176405736,0.021499448732083794,0.03996692392502756,0.042723263506063945
H-P-H,0.03528114663726571,0.023428886438809263,0.032800441014332965,0.041620727673649396
H-O-H,0.029768467475192944,0.019294377067254686,0.007166482910694598,0.019570011025358325
H-W,0.028941565600882027,0.011025358324145534,0.025358324145534728,0.03500551267916207
H-L,0.025633958103638367,0.03528114663726571,0.03721058434399118,0.03583241455347299
H-O,0.020672546857772877,0.014884233737596472,0.006339581036383682,0.009922822491730982
H-P,0.015435501653803748,0.025358324145534728,0.017916207276736495,0.019570011025358325
H-W-P-H,0.013781697905181918,0.007166482910694598,0.007442116868798236,0.015986769570011026
H-S-H,0.01350606394707828,0.003858875413450937,0.027287761852260197,0.007993384785005513
H-W-L-H,0.013230429988974642,0.009922822491730982,0.017640573318632856,0.024531422271223815
W,0.012127894156560088,0.011576626240352812,0.009647188533627343,0.010198456449834619
H-W-O-H,0.011852260198456449,0.0024807056229327455,0.002205071664829107,0.007717750826901874
H-W-H-L-H,0.010474090407938258,0.0033076074972436605,0.011300992282249173,0.016262403528114665
O-H,0.010198456449834619,0.015986769570011026,0.0013781697905181918,0.0019294377067254685
H-He-H,0.009095920617420067,0.0002756339581036384,0.029492833517089305,0.015711135611907387
L,0.008820286659316428,0.03638368246968027,0.009647188533627343,0.009647188533627343
L-H,0.007993384785005513,0.025909592061742006,0.008269018743109152,0.008544652701212789
S-H,0.006063947078280044,0.0013781697905181918,0.011025358324145534,0.012127894156560088
H-W-L,0.004685777287761852,0.014332965821389196,0.007166482910694598,0.006615214994487321
H-P-L,0.002205071664829107,0.015986769570011026,0.004961411245865491,0.003858875413450937
He-H,0.002205071664829107,0.0,0.009922822491730982,0.008269018743109152
L-W-H,0.0016538037486218302,0.013781697905181918,0.0011025358324145535,0.0002756339581036384
